"MEASURE - Absolute value in thousands"

YEAR,"1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"  LDCs: Asia",82863.459,84472.95600000001,86082.644,87739.156,89478.04399999999,91323.438,93287.959,95372.86,97569.64999999999,99862.333,102234.378,104676.317,107192.183,109802.3,112535.375,115405.215,118431.094,121587.91,124791.888,127930.045,130925.522,133744.046,136420.514,139033.193,141696.7,144496.068,147460.606,150572.147,153811.263,157141.043,160537.416,164006.103,167569.893,171241.749,175038.561,178977.003,183036.872,187223.713,191607.888,196282.363,201299.792,206699.135,212422.186,218304.552,224120.992,229708.831,234990.779,240005.983,244849.478,249672.394,254577.643,259604.94,264697.313,269747.908,274604.523,279165.4,283390.78,287337.278,291116.893,294890.517,298776.707,302812.245,306969.713,311225.243,315531.796,319854.008,324185.862,328539.553,332917.037,337323.081,341756.433,346216.199,350685.269,355126.643,359492.68,363747.447,367874.257,371874.982,375755.837,379531.494,383212.356,386796.173,390276.194,393653.621,396930.272,400107.36,403184.968,406162.119,409037.201,411808.196,414473.305,417031.545,419482.65,421825.964,424060.987,426187.099,428203.704,430110.009,431904.611,433586.144,435153.399
"  LDCs: Islands",346.976,352.554,358.293,364.387,371.068,378.352,386.222,394.514,403.027,411.524,419.78,427.694,435.342,443.128,451.552,460.945,471.508,483.171,495.671,508.593,521.747,534.901,548.27,562.353,577.789,594.9980000000001,614.276,635.299,657.404,679.576,701.096,721.733,741.711,761.495,781.826,803.25,825.8730000000001,849.502,873.952,898.859,923.982,949.309,974.909,1000.742,1026.905,1053.363,1080.162,1107.3,1134.828,1162.722,1191.084,1219.926,1249.265,2226.308,2281.773,2336.461,2390.085,2443.191,2496.218,2549.937,2604.897,2661.136,2718.43,2776.94,2836.889,2898.327,2961.306,3025.784,3091.532,3158.143,3225.314,3293.003,3361.161,3429.809,3498.958,3568.605,3638.685,3709.128,3779.931,3851.036,3922.357,3993.91,4065.624,4137.535,4209.576,4281.71,4353.979,4426.309,4498.711,4571.158,4643.606,4716.08,4788.497,4860.947,4933.442,5005.976,5078.544,5151.109,5223.605,5295.953,5368.11
"LDCs: Africa",108533.63,110612.862,112770.519,115013.322,117346.996,119776.29,122304.93,124935.745,127670.769,130511.523,133459.853,136519.103,139694.59,142994.257,146427.367,150002.097,153723.455,157594.795,161619.163,165798.849,170136.453,174635.667,179300.843,184135.55,189143.344,194328.015,199694.67,205247.062,210985.224,216907.644,223015.352,229305.387,235784.165,242473.426,249401.328,256586.721,264047.662,271775.979,279732.834,287862.527,296129.548,304525.137,313076.038,321826.687,330838.948,340162.505,349815.939,359802.493,370138.632,380838.249,391913.993,403378.989,415244.08,427514.656,440193.67,453284.077,466792.473,480724.303,495079.043,509853.871,525047.703,540655.0770000001,556678.664,573133.947,590041.374,607412.314,625254.248,643552.199,662266.825,681344.683,700746.731,720453.919,740473.38,760823.314,781534.671,802627.678,824101.652,845940.857,868132.983,890660.3810000001,913507.564,936666.198,960129.199,983882.9520000001,1007912.43,1032203.761,1056744.757,1081525.684,1106537.712,1131773.132,1157223.163,1182877.368,1208723.445,1234747.971,1260936.725,1287276.321,1313754.823,1340361.573,1367085.478,1393915.864,1420841.737
"LDCs: Islands and Haiti",3568.246,3626.964,3688.624,3753.346,3821.316,3892.421,3966.534,4043.333,4122.454,4203.458,4285.942,4369.65,4454.513,4540.883,4629.183,4719.679,4812.833,4908.489,5005.482,5102.259,5197.984,5292.076,5385.604,5480.978,5581.497,5689.568,5805.913,5929.924,6061.424,6199.763,6344.271,6495.1,6651.934,6813.112,6976.512,7140.525,7304.41,7468.244,7632.174,7796.614,7961.897,8127.92,8294.4,8461.426,8629.223,8797.871999999999,8967.474,9138.021000000001,9309.508,9481.792,9654.886,9828.736000000001,10003.413,11126.416,11328.855,11531.75,11734.869,11938.527,12142.788,12347.983,12554.215,12761.456,12969.352,13177.612,13385.896,13593.867,13801.282,14008.151,14214.715,14421.222,14627.847,14834.686,15041.449,15247.772,15453.15,15657.16,15859.65,16060.636,16260.222,16458.525,16655.584,16851.372,17045.755,17238.946,17431.133,17622.4,17812.837,18002.205,18190.124,18376.046,18559.525,18740.375,18918.483,19093.994,19266.978,19437.488,19605.435,19770.591,19932.636,20091.168,20245.895
"LLDCs (Landlocked developing countries)",76817.054,78298.856,79806.345,81350.17600000001,82939.732,84582.875,86286.333,88055.231,89893.67200000001,91804.772,93791.20600000001,95856.295,98004.21400000001,100240.5,102571.262,105001.014,107525.653,110143.655,112862.769,115693.454,118638.748,121713.276,124904.131,128154.053,131386.02,134549.651,137629.645,140657.723,143689.668,146805.357,150069.789,153494.623,157083.631,160884.04,164949.66,169316.45,174005.79,179004.535,184269.444,189735.783,195352.427,201112.93,273576.734,280233.827,286902.926,293580.393,300248.643,306922.262,313670.792,320589.197,327747.636,335182.567,342882.61,350812.392,358913.484,367148.927,375509.237,384027.35,392759.675,401782.99,411152.999,420878.639,441057.032,451698.913,462623.549,473816.858,485276.858,496988.246,508906.034,520972.69,533143.398,545397.121,557731.047,570142.4,582635.642,595213.306,607867.167,620588.194,633378.437,646242.366,659182.7830000001,672196.241,685277.748,698426.595,711642.1,724922.1139999999,738262.304,751656.274,765095.697,778571.003,792072.505,805593.741,819126.967,832659.475,846177.019,859667.406,873121.297,886532.699,899895.531,913205.366,926456.972
"SIDS (Small island developing States) (analytical)",4364.955,4464.194,4565.388,4666.696,4767.247,4866.514,4964.642,5062.43,5160.97,5262.01,5366.699,5475.706,5588.302,5702.426,5815.326,5924.628,6029.897,6131.836,6231.45,6330.348,6429.884,6530.276,6631.472,6733.994,6838.061,6944.145,7051.704,7160.928,7273.163,7390.369,7513.326,7643.644,7759.613,7893.798,8020.795,8135.864,8236.156000000001,8324.06,8406.01,8491.163000000001,8585.921,8692.620000000001,8808.808999999999,8930.279000000001,9050.781999999999,9165.601000000001,9273.683000000001,9376.642,9475.677,9572.652,9669.306000000001,9765.707,9861.605,10904.465,11025.43,11145.545,11264.866,11383.871,11503.451,11624.53,11747.866,11873.293,12000.387,12129.544,12261.294,12395.54,12532.817,12672.277,12811.274,12946.141,13074.27,13194.637,13307.972,13416.384,13522.832,13629.466,13736.859,13844.349,13951.759,14058.478,14164.014,14268.594,14372.155,14474.52,14574.976,14673.291,14769.266,14862.903,14954.256,15043.51,15130.576,15215.613,15298.46,15379.164,15457.746,15534.291,15608.723,15681.084,15751.36,15819.395,15885.242
"  SIDS: Atlantic and Indian Ocean",1000.82,1026,1050.395,1074.192,1097.718,1121.223,1144.994,1169.352,1194.547,1220.945,1248.695,1277.904,1308.493,1340.187,1372.704,1405.514,1438.859,1472.632,1506.034,1537.941,1567.768,1594.915,1619.868,1644.217,1670.037,1698.88,1731.303,1766.777,1804.098,1841.609,1878.014,1913.196,1947.524,1981.09,2014.173,2047.007,2079.288,2111.188,2143.96,2179.307,2218.362,2261.673,2308.671,2357.664,2406.286,2452.834,2496.684,2538.368,2578.55,2618.27,2658.341,2698.989,2739.952,2781.023,2821.906,2862.397,2902.38,2942.132,2982.355,3023.97,3067.668,3113.406,3160.828,3209.774,3259.975,3310.966,3363.044,3415.788,3467.099,3514.243,3555.393,3589.679,3617.904,3642.184,3665.612,3690.438,3717.281,3745.687,3775.481,3806.155,3837.336,3869.133,3901.689,3934.687,3967.567,3999.919,4031.645,4062.693,4093.175,4123.215,4152.875,4182.129,4210.924,4239.202,4266.961,4294.188,4320.83,4346.944,4372.423,4397.289,4421.488
"  SIDS: Caribbean",2707.737,2764.443,2822.216,2879.66,2935.865,2990.235,3042.659,3093.448,3143.19,3192.773,3242.96,3294.165,3346.051,3397.55,3447.018,3493.458,3536.332,3576.315,3615.13,3655.253,3698.404,3745.379,3795.592,3847.802,3899.981,3950.829,3999.354,4046.226,4093.356,4143.526,4198.365,4259.071,4324.24,4390.058,4451.228,4504.213,4547.296,4582.003,4611.612,4640.894,4673.232,4709.711,4749.206,4790.53,4831.658,4871.093,4908.609,4944.836,4979.987,5014.426,5048.514,5082.249,5115.562,5148.473,5181.052,5213.242,5245.157,5276.705,5308.214,5339.96,5372.172,5404.925,5438.004,5471.032,5503.428,5534.702,5564.74,5593.462,5620.864,5646.9,5671.477,5694.589,5716.059,5735.977,5754.239,5770.837,5785.803,5799.045,5810.679,5820.727,5829.137,5836.055,5841.416,5845.239,5847.481,5848.226,5847.414,5845.133,5841.351,5836.154000000001,5829.463,5821.376,5811.934,5801.077,5788.882,5775.403,5760.631,5744.578,5727.325,5708.831,5689.185
"  SIDS: Pacific",656.398,673.751,692.777,712.8440000000001,733.664,755.056,776.989,799.63,823.233,848.292,875.044,903.6369999999999,933.758,964.689,995.604,1025.656,1054.706,1082.889,1110.286,1137.154,1163.712,1189.982,1216.012,1241.975,1268.043,1294.436,1321.047,1347.925,1375.709,1405.234,1436.947,1471.377,1487.849,1522.65,1555.394,1584.644,1609.572,1630.869,1650.438,1670.962,1694.327,1721.236,1750.932,1782.085,1812.838,1841.674,1868.39,1893.438,1917.14,1939.956,1962.451,1984.469,2006.091,2974.969,3022.472,3069.906,3117.329,3165.034,3212.882,3260.6,3308.026,3354.962,3401.555,3448.738,3497.891,3549.872,3605.033,3663.027,3723.311,3784.998,3847.4,3910.369,3974.009,4038.223,4102.981,4168.191,4233.775,4299.617,4365.599,4431.596,4497.541,4563.406,4629.05,4694.594,4759.928,4825.146,4890.207,4955.077,5019.73,5084.141,5148.238,5212.108,5275.602,5338.885,5401.903,5464.7,5527.262,5589.562,5651.612,5713.275,5774.569
"SIDS (Small island developing States) (UN-OHRLLS)",20681.699,21133.761,21606.527,22094.676,22594.756,23104.646,23623.79,24153.327,24695.558,25253.728,25830.447,26426.447,27039.188,27662.473,28287.899,28909.146,29523.371,30131.643,30736.817,31343.657,31955.464,32573.78,33196.86,33820.207,34437.472,35044.811,35639.985,36226.348,36811.578,37406.471,38018.771,38651.636,39302.926,39968.847,40643.026,41321.159,42001.424,42685.52,43376.104,44077.241,44791.401,45518.718,46256.799,47001.604,47748.109,48491.809,49234.247,49975.339,50708.59,51425.085,52120.511,52788.345,53434.096,55026.836,55727.255,56476.359,57283.46,58139.063,59020.759,59895.772,60740.595,61524.556,62297.358,63048.1,63793.498,64544.754,65304.656,66067.11500000001,66824.957,67567.383,68286.89900000001,68980.939,69652.401,70305.84,70948.241,71584.71000000001,72216.26300000001,72841.44100000001,73458.69,74065.707,74660.689,75243.533,75814.545,76373.57000000001,76920.117,77454.143,77975.36,78483.46400000001,78978.321,79459.901,79927.85000000001,80382.219,80822.79399999999,81249.54700000001,81662.51300000001,82061.632,82446.96400000001,82818.35000000001,83175.72100000001,83518.519,83846.571
"Low-income developing economies",128339.785,130208.358,132222.214,134410.425,136790.599,139368.962,142139.696,145085.538,148179.905,151390.078,154687.394,158058.01,161512.173,165088.306,168841.537,172810.417,177007.826,181417.523,186012.377,190752.018,195606.212,200566.625,205640.258,210830.379,216144.918,221589.636,227177.273,232906.752,238754.4,244687.29,250690.32,256762.208,262937.675,269283.821,275889.165,282825.503,290096.775,297706.681,305722.851,314225.071,323257.974,332877.504,348542.936,359163.382,369900.86,380590.852,391161.059,401679.715,412295.015,423226.315,434632.818,446549.976,458926.382,471728.056,484892.579,498367.357,512179.975,526335.4080000001,540731.488,555233.909,569761.215,584263.966,608924.102,623937.752,639388.421,655464.183,672206.172,689574.1139999999,707572.248,726182.282,745376.411,765171.7290000001,785540.108,806347.036,827414.703,848608.377,869871.8760000001,891215.208,912653.205,934227.156,955966.9740000001,977860.195,999884.605,1022051.513,1044377.687,1066873.747,1089538.881,1112363.847,1135339.245,1158452.33,1181690.664,1205046.623,1228512.089,1252072.412,1275711.091,1299412.967,1323165.853,1346959.224,1370781.252,1394620.256,1418464.428
"Middle-income developing economies",743599.5770000001,757134.276,771527.652,786745.477,802760.808,819553.443,837110.4129999999,855425.982,874500.005,894337.123,914941.068,936309.9,958431.3000000001,981280.442,1004825.887,1029045.544,1053937.478,1079510.737,1105769.613,1132722.781,1160382.703,1188759.064,1217870.362,1247750.452,1278440.552,1309978.782,1342341.633,1375540.154,1409683.606,1444913.084,1481308.447,1518897.951,1557554.114,1597139.151,1637348.871,1677964.996,1718910.547,1760171.994,1801671.727,1843341.699,1885129.654,1926965.202,2010871.193,2053257.303,2095779.38,2138514.751,2181488.696,2224650.949,2267915.678,2311162.233,2354309.525,2397334.259,2440279.734,2483214.47,2526238.378,2569431.646,2612785.348,2656294.373,2700044.945,2744143.675,2788650.324,2833605.214,2868828.869,2914126.869,2959420.146,3004519.788,3049353.476,3093937.793,3138280.044,3182418.184,3226375.031,3270127.221,3313633.429,3356881.036,3399858.822,3442553.996,3484947.774,3527021.438,3568761.164,3610153.991,3651183.887,3691836.277,3732087.335,3771899.803,3811229.919,3850041.047,3888310.864,3926027.26,3963177.044,3999751.38,4035740.987,4071132.524,4105913.315,4140076.817,4173618.595,4206533.892,4238814.226,4270452.133,4301443.366,4331785.467,4361474.698
"High-income developing economies",819579.129,841971.725,861923.095,880340.276,897968.122,915390.384,933022.035,951116.601,969784.645,989025.132,1008820.102,1029235.304,1050508.118,1073085.417,1097516.662,1124139.211,1153121.754,1184205.026,1216750.56,1249859.771,1282829.121,1315501.319,1347901.159,1379734.883,1410709.58,1440648.5,1469401.688,1497072.237,1524074.49,1551002.987,1578328.892,1606009.206,1634020.02,1662802.155,1692938.311,1724737.075,1758502.753,1793866.487,1829628.642,1864142.933,1896226.694,1925421.204,1972257.108,1996891.888,2020425.309,2043556.958,2066439.953,2088885.795,2110862.867,2132259.214,2153017.705,2173178.483,2192879.939,2212273.561,2231546.447,2250842.36,2270198.35,2289611.918,2309130.435,2328793.062,2348606.483,2368552.501,2388608.345,2408592.863,2428293.471,2447528.139,2466247.611,2484404.04,2501822.195,2518300.045,2533695.263,2547917.414,2560991.654,2573041.552,2584260.582,2594795.751,2604679.101,2613881.236,2622414.882,2630281.43,2637483.82,2644043.523,2649978.686,2655284.261,2659947.247,2663961.554,2667331.101,2670071.128,2672199.95,2673740.994,2674712.849,2675127.965,2674990.951,2674303.143,2673062.734,2671270.938,2668937.672,2666075.442,2662692.708,2658797.928,2654401.855
"Low-income economies (World Bank)",117462.885,119110.801,120909.206,122885.024,125054.08,127421.036,129979.004,132709.824,135586.402,138575.656,141648.518,144790.382,148010.206,151344.443,154845.91,158551.249,162473.048,166594.837,170887.938,175310.189,179830.535,184439.116,189144.179,193954.04,198883.729,203943.82,209147.15,214490.205,219948.361,225486.963,231088.299,236750.094,242503.412,248406.748,254537.831,260959.685,267680.286,274703.357,282080.299,289869.957,298106.612,306834.984,321531.01,331155.756,340941.61,350774.325,360601.927,370477.957,380522.592,390910.666,401768.206,413123.416,424933.746,437166.669,449765.063,462679.641,475927.027,489505.453,503324.693,517267.737,531260.0330000001,545264.975,559331.448,573577.258,588169.246,603234.487,618793.831,634827.7610000001,651371.262,668454.9250000001,686089.209,704297.624,723047.58,742219.597,761651.618,781220.618,800878.738,820636.7120000001,840502.936,860507.295,880670.7610000001,900980.128,921414.652,941981.081,962690.956,983550.665,1004556.985,1025700.198,1046971.294,1068358.919,1089851.646,1111441.771,1133120.347,1154872.109,1176679.795,1198527.997,1220404.393,1242299.372,1264203.162,1286106.815,1308000.73
"Lower-middle-income economies (World Bank)",670484.9889999999,682487.8639999999,695256.543,708740.79,722902.522,737715.505,753165.924,769252.15,785982.512,803372.993,821438.079,840181.9840000001,859590.362,879626.893,900243.171,921407.231,943114.074,965383.828,988242.485,1011728.139,1035875.74,1060703.537,1086228.55,1112484.632,1139509.571,1167339.105,1195960.389,1225389.646,1255721.687,1287077.13,1319526.014,1353088.758,1387623.961,1423108.368,1459272.573,1495946.383,1533068.827,1570614.211,1608489.27,1646598.518,1684866.512,1723220.959,1843257.785,1882175.229,1921165.988,1960261.443,1999468.184,2038745.964,2078027.608,2117224.699,2156281.066,2195165.624,2233915.04,2273573.036,2312406.063,2351435.281,2390693.2,2430158.117,2469807.572,2509598.509,2549498.347,2589493.992,2629594.201,2669811.179,2710163.953,2750658.076,2791286.149,2832014.332,2872787.482,2913534.424,2954194.932,2994738.553,3035146.136,3075382.785,3115414.49,3155210.946,3194741.575,3233985.166,3272933.234,3311584.09,3349931.338,3387960.684,3425648.029,3462965.344,3499880.164,3536365.536,3572403.92,3607985.583,3643101.679,3677747.106,3711915.834,3745596.966,3778780.21,3811461.743,3843639.526,3875310.23,3906466.549,3937100.002,3967203.161,3996768.864,4025789.275
"Upper-middle-income economies (World Bank)",1063928.206,1089973.246,1113847.007,1136393.843,1158307.99,1180133.79,1202259.543,1224923.524,1248231.338,1272184.561,1296767.514,1322039.723,1348216.268,1375703.244,1404998.652,1436404.561,1470068.986,1505744.048,1542827.28,1580475.185,1618023.547,1655328.399,1692403.355,1728942.22,1764630.587,1799277.333,1832724.833,1865084.977,1896794.53,1928478.748,1960627.687,1993186.003,2026129.43,2059856.208,2094965.304,2131749.48,2170519.902,2210866.508,2251465.427,2290509.121,2326699.431,2359540.513,2287698.566,2314796.269,2340610.524,2365878.591,2390756.054,2415058.982,2438799.241,2461918.85,2484400.607,2506332.147,2527854.648,2548115.219,2569084.384,2589938.292,2610672.104,2631346.835,2652197.697,2673517.396,2695485.305,2718180.881,2741461.075,2764996.313,2788324.7,2811079.126,2833153.873,2854541.088,2875092.011,2894663.388,2913153.577,2930469.483,2946606.383,2961673.056,2975843.06,2989250.266,3001921.606,3013835.111,3025019.479,3035498.868,3045294.007,3054430.646,3062925.879,3070779.626,3077983.69,3084534.653,3090439.081,3095711.78,3100365.926,3104417.11,3107877.591,3110757.036,3113058.645,3114780,3115915.223,3116461.778,3116426.618,3115819.306,3114643.09,3112900.91,3110598.914
"High-income economies (World Bank)",684479.252,692383.0060000001,700767.111,709505.743,718496.892,727662.671,736949.9399999999,746329.491,755792.797,765346.463,774996.111,784728.71,794497.822,804216.421,813776.216,823100.991,832140.797,840914.507,849501.785,858022.097,866558.889,875140.991,883729.34,892257.646,900628.643,908625.9889999999,916517.919,924201.139,931705.141,939079.254,946363.274,953568.008,960722.438,967787.4129999999,974823.814,981848.987,988872.584,995898.806,1002936.557,1009994.626,1017077.901,1024203.136,1045933.21,1052959.671,1059908.132,1066759.474,1073511.042,1080191.735,1086855.048,1093572.842,1100404.827,1107334.129,1114362.831,1121586.766,1129127.015,1137049.126,1145400.671,1154099.7,1162917.785,1171542.307,1179739.775,1187394.097,1194574.921,1201310.239,1207717.08,1213884.043,1219828.413,1225500.083,1230850.452,1235811.628,1240343.229,1244429.417,1248109.732,1251470.659,1254630.831,1257679.494,1260647.914,1263524.03,1266299.988,1268952.579,1271463.152,1273839.685,1276090.76,1278198.663,1280138.782,1281893.912,1283459.025,1284839.705,1286043.946,1287084.141,1287970.622,1288707.67,1289296.599,1289741.796,1290048.114,1290220.504,1290264.438,1290186.644,1289995.936,1289702.315,1289314.707
"High-income OECD members (World Bank)",647508.254,654487.672,661944.515,669744.716,677780.766,685971.595,694264.004,702631.173,711069.188,719590.746,728206.732,736906.481,745640.545,754313.11,762803.343,771026.438,778926.7510000001,786526.203,793914.687,801227.0010000001,808556.079,815935.682,823319.958,830626.09,837734.2290000001,844559.867,851083.937,857341.765,863370.819,869229.546,874966.997,880599.299,886132.754,891596.627,897023.361,902441.887,907858.951,913289.948,918782.1850000001,924391.793,930154.509,936101.426,952047.334,958151.292,964223.762,970200.414,976057.664,981821.105,987535.901,993270.067,999074.194,1004941.662,1010855.439,1016841.13,1022928.583,1029127.591,1035454.404,1041870.118,1048260.687,1054474.023,1060397.687,1065977.715,1071230.823,1076202.611,1080971.768,1085591.661,1090081.152,1094406.683,1098508.768,1102304.842,1105741.379,1108798.05,1111511.946,1113958.14,1116242.281,1118444.362,1120588.539,1122663.806,1124672.558,1126606.907,1128459.461,1130239.862,1131952.097,1133573.591,1135072.665,1136426.149,1137627.53,1138682.574,1139596.809,1140380.319,1141041.458,1141582.171,1142002.637,1142307.71,1142502.845,1142593.524,1142584.649,1142481.063,1142288.242,1142012.204,1141658.732
"High-income non OECD members (World Bank)",36970.998,37895.334,38822.596,39761.027,40716.126,41691.076,42685.936,43698.318,44723.609,45755.717,46789.379,47822.229,48857.277,49903.311,50972.873,52074.553,53214.046,54388.304,55587.098,56795.096,58002.81,59205.309,60409.382,61631.556,62894.414,64066.122,65433.982,66859.374,68334.322,69849.708,71396.277,72968.709,74589.68399999999,76190.78599999999,77800.45299999999,79407.10000000001,81013.633,82608.85799999999,84154.372,85602.833,86923.39200000001,88101.71000000001,93885.876,94808.379,95684.37,96559.06,97453.378,98370.63000000001,99319.147,100302.775,101330.633,102392.467,103507.392,104745.636,106198.432,107921.535,109946.267,112229.582,114657.098,117068.284,119342.088,121416.382,123344.098,125107.628,126745.312,128292.382,129747.261,131093.4,132341.684,133506.786,134601.85,135631.367,136597.786,137512.519,138388.55,139235.132,140059.375,140860.224,141627.43,142345.672,143003.691,143599.823,144138.663,144625.072,145066.117,145467.763,145831.495,146157.131,146447.137,146703.822,146929.164,147125.499,147293.962,147434.086,147545.269,147626.98,147679.789,147705.581,147707.694,147690.111,147655.975
"HIPCs (Heavily indebted poor countries) (IMF)",123062.253,125380.234,127794.155,130313.784,132947.473,135702.006,138582.807,141593.956,144738.267,148017.662,151433.883,154989.533,158688.714,162537.594,166542.982,170710.239,175036.095,179519.177,184166.834,188988.81,193988.062,199178.765,204549.888,210048.788,215604.327,221170.617,226733.509,232323.578,237995.37,243826.566,249879.915,256180.785,262734.992,269564.193,276686.785,284121.516,291863.922,299929.432,308376.389,317277.587,326674.602,336616.746,344806.664,355622.754,366574.5,377508.022,388357.705,399190.931,410151.349,421449.899,433241.12,445580.153,458426.428,471724.321,485380.389,499332.291,513565.309,528123.0379999999,543069.595,558494.21,574459.959,590981.422,608034.547,625595.285,643623.99,662085.438,680977.451,700290.661,719971.899,739954.759,760191.122,780651.959,801343.5600000001,822296.88,843562.5649999999,865175.2,887137.696,909429.643,932035.5870000001,954932.252,978100.134,1001530.381,1025218.133,1049151.712,1073319.005,1097707.916,1122306.726,1147104.662,1172091.458,1197257.48,1222592.31,1248084.616,1273721.757,1299489.796,1325373.848,1351359.795,1377435.184,1403588.13,1429805.876,1456075.769,1482385.12
"LIFDC (Low-income food-deficit countries) (FAO)",602014.138,612095.8540000001,622788.558,634109.508,646068.396,658667.264,671900.061,685753.282,700207.092,715237.605,730823.7240000001,746954.177,763633.8270000001,780886.437,798746.843,817238.898,836377.74,856152.563,876529.901,897462.255,918919.254,940892.296,963405.073,986498.475,1010229.685,1034643.916,1059747.205,1085537.396,1112039.123,1139279.035,1167271.953,1196027.668,1225529.907,1255733.029,1286573.549,1318001.222,1349971.658,1382476.334,1415540.705,1449208.927,1483495.912,1518415.551,1585233.284,1621731.045,1658408.074,1695116.842,1731781.848,1768436.264,1805175.967,1842152.744,1879474.756,1917142.308,1955104.017,1993352.992,2031872.61,2070636.232,2109681.648,2148978.328,2188350.11,2227563.726,2266467.526,2304983.706,2343202.043,2381346.542,2419736.01,2458606.368,2498006.997,2537881.196,2578225.603,2619006.744,2660182.604,2701763.266,2743714.315,2785886.824,2828086.005,2870159.295,2912035.13,2953705.968,2995163.056,3036421.477,3077486.035,3118329.909,3158912.213,3199210.099,3239201.353,3278866.358,3318188.39,3357154.577,3395754.548,3433980.647,3471825.883,3509278.636,3546331.306,3582985.611,3619247.276,3655118.704,3690593.842,3725662.624,3760317.147,3794548.495,3828346.763
"Selected LIFDC (Low-income food-deficit countries)",529009.145,537728.255,547009.838,556860.316,567281.402,578269.921,589817.697,601911.812,614535.347,627669.137,641295.956,655405.341,669997.858,685086.711,700692.7510000001,716829.795,733505.682,750711.672,768425.157,786614.916,805260.596,824355.186,843912.725,863959.553,884532.8270000001,905661.454,927350.382,949596.745,972411.384,995804.7510000001,1019782.234,1044341.566,1069473.964,1095167.511,1121406.038,1148171.254,1175431.49,1203163.17,1231361.613,1260027.277,1289142.332,1318706.498,1346402.059,1376612.513,1406869.573,1437024.89,1466995.101,1496799.368,1526518.415,1556285.991,1586192.131,1616233.896,1646346.556,1676483.641,1706579.702,1736574.009,1766486.23,1796295.906,1825857.14,1854982.955,1883556.666,1911509.874,1938926.016,1966030.051,1993137.974,2020484.244,2048123.589,2076005.579,2104127.643,2132456.165,2160950.135,2189621.081,2218439.49,2247265.509,2275915.461,2304245.311,2332190.224,2359743.394,2386890.988,2413639.847,2439990.095,2465918.021,2491390.865,2516392.925,2540911.034,2564934.959,2588455.156,2611466.963,2633972.582,2655978.478,2677491.015,2698508.207,2719031.804,2739077.034,2758663.817,2777807.055,2796510.666,2814772.303,2832591.376,2849965.093,2866889.711
"Selected exporters of petroleum",98682.103,100753.727,102951.814,105261.391,107671.481,110175.509,112771.107,115460.255,118248.44,121143.926,124154.765,127286.053,130537.072,133900.294,137364.552,140924.338,144583.735,148354.751,152251.072,156289.907,160488.61,164850.42,169386.993,174133.764,179134.575,184420.624,189999.417,195862.467,202003.439,208409.201,215063.74,221952.942,229058.308,236350.657,243795.172,251355.61,259029.127,266787.151,274538.384,282168.595,289599.758,296795.734,331460.395,338414.234,345287.535,352170.243,359083.597,366033.801,373080.364,380290.277,387716.142,395401.021,403356.57,411563.606,419983.682,428595.314,437369.618,446334.424,455588.41,465264.698,475443.072,486175.33,497389.675,508889.798,520404.54,531739.091,542811.8320000001,553675.919,564436.122,575259.602,586265.427,597478.389,608847.085,620325.029,631839.6360000001,643337.83,654809.821,666272.714,677732.767,689203.412,700695.638,712207.568,723737.485,735298.088,746905.7120000001,758572.2,770300.181,782086.593,793929.352,805824.262,817766.3490000001,829753.402,841780.773,853836.898,865907.539,877980.284,890047.118,902102.391,914139.373,926151.58,938132.281
