"MEASURE - Absolute value in thousands"

YEAR,"1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"  America",340965.649,347833.084,355221.685,363038.547,371203.158,379647.401,388315.938,397166.08,406166.232,415293.927,424530.057,433852.262,443229.168,452618.224,461972.268,471260.015,480459.898,489582.224,498668.946,507782.87,516972.731,526251.427,535614.8050000001,545074.33,554639.005,564316.092,574109.906,584024.669,594064.867,604233.888,614531.21,624959.468,635510.391,646158.402,656869.654,667618.035,678396.1530000001,689205.083,700038.357,710891.171,721761.836,732622.722,743472.721,754366.945,765382.487,776561.898,787941.345,799469.352,810996.308,822317.725,833290.879,843848.469,854040.343,863984.108,873857.058,883785.058,893800.5060000001,903853.748,913891.758,923830.387,933606.032,943209.949,952656.358,961931.514,971023.508,979925.42,988624.806,997124.5649999999,1005454.247,1013655.471,1021757.901,1029770.123,1037681.103,1045476.887,1053135.18,1060638.519,1067980.606,1075162.29,1082179.364,1089029.113,1095707.327,1102211.479,1108534.267,1114661.375,1120575.402,1126263.792,1131721.167,1136949.42,1141952.222,1146737.058,1151310.106,1155673.153,1159827.728,1163780.845,1167541.12,1171116.135,1174511.109,1177729.49,1180775.975,1183654.335,1186368.995
"    Northern America",174847.408,177237.575,179989.694,183023.913,186267.67,189655.595,193129.715,196639.222,200140.499,203596.758,206977.273,210256.584,213413.63,216431.719,219299.175,222011.924,224557.222,226944.262,229220.475,231451.713,233688.282,235948.466,238228.687,240530.862,242849.978,245182.89,247537.244,249920.838,252329.668,254756.479,257196.91,259651.281,262124.819,264624.003,267157.395,269731.879,272355.549,275030.342,277750.224,280505.393,283292.174,286091.747,288913.567,291814.314,294870.72,298128.61,301622.84,305312.556,309076.301,312746.143,316204.469,319394.982,322358.826,325194.42,328049.4,331026.83,334156.588,337391.953,340667.505,343885.353,346973.35,349916.816,352735.474,355433.204,358023.028,360517.507,362912.585,365210.668,367440.264,369638.927,371834.907,374040.182,376252.134,378466.168,380671.598,382860.603,385032.049,387189.931,389336.341,391474.447,393604.908,395728.724,397840.366,399925.702,401966.322,403948.555,405867.521,407725.241,409523.677,411267.463,412960.713,414604.334,416198.911,417748.63,419258.703,420734.092,422178.08,423594.183,424987.909,426365.345,427731.984
"    Latin America and the Caribbean",166118.241,170595.509,175231.991,180014.634,184935.488,189991.806,195186.223,200526.858,206025.733,211697.169,217552.784,223595.678,229815.538,236186.505,242673.093,249248.091,255902.676,262637.962,269448.471,276331.157,283284.449,290302.961,297386.118,304543.468,311789.027,319133.202,326572.662,334103.831,341735.199,349477.409,357334.3,365308.187,373385.572,381534.399,389712.259,397886.156,406040.604,414174.741,422288.133,430385.778,438469.662,446530.975,454559.154,462552.631,470511.767,478433.288,486318.505,494156.796,501920.007,509571.582,517086.41,524453.487,531681.517,538789.688,545807.6580000001,552758.228,559643.918,566461.795,573224.253,579945.034,586632.682,593293.133,599920.884,606498.3100000001,613000.48,619407.9129999999,625712.221,631913.897,638013.983,644016.544,649922.994,655729.941,661428.969,667010.719,672463.5820000001,677777.916,682948.557,687972.3590000001,692843.023,697554.666,702102.419,706482.755,710693.901,714735.673,718609.08,722315.237,725853.646,729224.179,732428.545,735469.595,738349.393,741068.819,743628.817,746032.215,748282.417,750382.043,752333.029,754135.307,755788.066,757288.99,758637.0110000001
"      Caribbean",14403.035,14722.802,15049.519,15379.372,15710.015,16040.789,16372.73,16708.593,17052.423,17409.017,17782.573,18174.92,18584.048,19003.701,19424.791,19840.909,20248.998,20650.712,21049.424,21450.647,21857.993,22272.907,22692.884,23112.756,23525.384,23925.946,24312.61,24687.845,25055.818,25422.843,25793.651,26168.764,26547.514,26931.769,27323.593,27724.077,28134.5,28553.475,28975.817,29394.275,29803.567,30201.62,30589.597,30969.158,31343.465,31714.646,32082.798,32446.861,32807.05,33163.228,33515.332,33864.284,34210.001,34550.495,34883.049,35206.017,35517.97,35820.369,36118.776,36420.49,36730.673,37051.432,37380.275,37712.105,38039.581,38357.075,38663.007,38958.384,39244.037,39521.417,39791.719,40054.742,40309.626,40556.432,40794.983,41025.302,41247.316,41461.149,41666.893,41864.777,42054.845,42237.25,42411.939,42578.932,42738.309,42890.209,43034.607,43171.379,43300.147,43420.511,43531.951,43634.427,43727.877,43812.217,43887.431,43953.534,44010.526,44058.183,44096.434,44124.768,44143.111
"      Central America",37975.499,39045.296,40166.158,41340.986,42571.705,43859.273,45203.612,46603.668,48057.489,49562.569,51116.559,52717.968,54367.015,56065.671,57817.045,59622.904,61481.916,63391.202,65348.982,67353.068,69400.46400000001,71490.33500000001,73618.747,75775.81200000001,77949.039,80129.06200000001,82310.23299999999,84492.592,86679.76700000001,88878.307,91092.356,93322.659,95565.087,97813.45200000001,100059.299,102296.695,104521.76,106736.055,108945.632,111159.566,113383.702,115620.582,117866.004,120111.036,122343.219,124553.726,126742.361,128912.729,131065.085,133200.65,135322.351,137426.156,139516.851,141616.549,143754.572,145950.549,148213.056,150532.553,152887.999,155248.742,157591.31,159908.333,162202.713,164473.306,166721.879,168949.156,171152.167,173326.782,175471.784,177586.525,179670.186,181721.512,183739.076,185721.925,187669.329,189580.542,191454.249,193289.836,195087.469,196847.908,198571.336,200257.519,201905.006,203511.317,205073.152,206587.974,208054.602,209473.051,210843.303,212166.014,213441.459,214669.34,215849.144,216980.98,218065.192,219101.854,220091.208,221032.968,221926.634,222771.399,223566.84
"      South America",113739.707,116827.411,120016.314,123294.276,126653.768,130091.744,133609.881,137214.597,140915.821,144725.583,148653.652,152702.79,156864.475,161117.133,165431.257,169784.278,174171.762,178596.048,183050.065,187527.442,192025.992,196539.719,201074.487,205654.9,210314.604,215078.194,219949.819,224923.394,229999.614,235176.259,240448.293,245816.764,251272.971,256789.178,262329.367,267865.384,273384.344,278885.211,284366.684,289831.937,295282.393,300708.773,306103.553,311472.437,316825.083,322164.916,327493.346,332797.206,338047.872,343207.704,348248.727,353163.047,357954.665,362622.644,367170.037,371601.662,375912.892,380108.873,384217.478,388275.802,392310.699,396333.368,400337.896,404312.899,408239.02,412101.682,415897.047,419628.731,423298.162,426908.602,430461.089,433953.687,437380.267,440732.362,443999.27,447172.072,450246.992,453221.374,456088.661,458841.981,461476.238,463987.986,466376.956,468645.424,470797.619,472837.054,474764.437,476579.749,478285.095,479883.07,481375.983,482765.052,484051.796,485239.018,486329.794,487326.655,488231.295,489044.156,489764.998,490392.823,490927.06
"  Asia",1379156.97,1409529.673,1437894.2,1465209.493,1492255.31,1519632.954,1547757.063,1576863.52,1607031.042,1638217.631,1670369.622,1703538.243,1737981.429,1774207.235,1812850.573,1854309.01,1898766.617,1945941.734,1995170.824,2045515.327,2096236.652,2147183.626,2198377.088,2249467.865,2300091.757,2350026.067,2399078.729,2447374.622,2495423.967,2543957.229,2593536.437,2644155.323,2695725.68,2748606.802,2803217.073,2859753.882,2918458.507,2978984.116,3040204.012,3100586.98,3159018.082,3215058.391,3336711.023,3389426.674,3441075.571,3492231.607,3542977.808,3593141.515,3642754.205,3691810.055,3740320.064,3788325.086,3835903.28,3883141.056,3930136.052,3976958.795,4023634.376,4070151.228,4116490.551,4162614.712,4208481.106,4254064.787,4299327.145,4344187.451,4388547.197,4432314.335,4475437.603,4517860.329,4559477.874,4600172.691,4639847.425,4678444.992,4715932.246,4752269.839,4787428.078,4821384.775,4854105.289,4885575.534,4915822.4,4944891.97,4972816.917,4999605.028,5025241.404,5049710.344,5072988.543,5095060.995,5115926.175,5135596.465,5154088.314,5171424.833,5187624.88,5202698.872,5216651.785,5229490.71,5241221.933,5251853.05,5261394.584,5269859.144,5277258.044,5283603.627,5288908.529
"    Central Asia","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",51534.448,52131.085,52671.507,53169.133,53625.323,54045.672,54453.829,54879.542,55345.848,55864.197,56435.657,57059.994,57732.412,58449.898,59212.413,60024.016,60889.765,61815.897,62805.087,63857.185,64965.265,66116.21799999999,67292.685,68479.99400000001,69672.928,70867.461,72051.622,73212.11,74338.92600000001,75426.628,76474.8,77485.73,78464.56200000001,79416.022,80339.936,81236.965,82114.17,82980.57000000001,83843.3,84704.72900000001,85565.22900000001,86427.166,87292.41899999999,88162.03999999999,89036.90700000001,89916.20299999999,90796.421,91672.57700000001,92540.323,93398.42999999999,94245.78,95078.182,95890.845,96680.15700000001,97444.25500000001,98182.925,98896.24400000001,99585.03999999999,100250.145
"    Eastern Asia",677535.2389999999,694908.937,709512.8149999999,722324.816,734139.482,745568.562,757032.705,768769.447,780855.664,793245.064,805880.88,818816.017,832318.178,846914.912,863265.976,881787.777,902669.504,925627.643,950000.697,974850.13,999435.111,1023594.597,1047342.063,1070328.599,1092192.155,1112702.814,1131702.394,1149295.762,1165870.43,1181993.085,1198125.829,1214228.833,1230302.463,1246883.127,1264634.915,1283950.282,1305150.658,1327899.732,1351113.957,1373287.355,1393334.81,1410859.993,1426166.869,1439731.762,1452336.525,1464564.639,1476529.253,1488065.399,1499161.033,1509745.03,1519781.295,1529313.791,1538440.477,1547238.619,1555797.782,1564192.321,1572445.286,1580576.646,1588648.759,1596729.775,1604859.428,1613052.692,1621273.736,1629442.257,1637445.258,1645183.917,1652634.655,1659767.973,1666471.32,1672611.12,1678089.627,1682854.608,1686915.299,1690315.494,1693132.598,1695427.585,1697207.756,1698464.115,1699224.62,1699521.133,1699379.596,1698819.664,1697849.934,1696471.463,1694679.193,1692472.395,1689858.421,1686852.146,1683469.074,1679727.639,1675643.151,1671227.676,1666487.272,1661424.331,1656038.216,1650331.129,1644312.606,1637995.228,1631387.781,1624499.714,1617342.057
"    South-eastern Asia",165134.1,168897.52,172942.743,177256.768,181827.07,186641.854,191690.004,196960.991,202444.881,208132.324,214013.991,220080.512,226322.147,232728.544,239289.115,245994.253,252830.9,259790.651,266873.564,274083.161,281417.675,288887.103,296477.81,304137.271,311796.195,319410.873,326947.119,334433.005,341962.689,349668.552,357641.674,365908.22,374425.761,383131.277,391930.394,400747.753,409566.079,418385.417,427167.249,435870.36,444464.194,452921.652,461239.748,469443.086,477572.447,485655.311,493703.988,501702.001,509614.778,517393.802,525007.9250000001,532449.608,539741.9520000001,546923.1310000001,554046.667,561156.081,568252.8270000001,575338.105,582452.891,589646.231,596947.246,604376.84,611910.589,619474.437,626965.241,634305.699,641466.64,648459.752,655298.438,662011.846,668619.8540000001,675118.475,681491.531,687733.627,693838.026,699798.407,705611.882,711275.1139999999,716781.35,722122.951,727293.792,732290.512,737111.6,741755.198,746220.268,750506.2560000001,754611.597,758536.123,762282.7,765855.668,769258.307,772491.9300000001,775556.49,778451.7240000001,781176.966,783731.967,786118.16,788337.323,790390.335,792278.084,794002.027
